,Date,Price
303,2011-05-15,8.03
304,2011-05-16,7.19
305,2011-05-17,6.88
306,2011-05-18,6.81
307,2011-05-19,5.59
308,2011-05-20,6.12
309,2011-05-21,6.69
310,2011-05-22,7.15
311,2011-05-23,7.42
312,2011-05-24,8.4
313,2011-05-25,8.8
314,2011-05-26,8.5
315,2011-05-27,8.3
316,2011-05-28,8.43
317,2011-05-29,8.8
318,2011-05-30,8.74
319,2011-05-31,9.57
320,2011-06-01,10.6
321,2011-06-02,14.29
322,2011-06-03,18.889999
323,2011-06-04,16.700001
324,2011-06-05,18.549999
325,2011-06-06,23.92
326,2011-06-07,29.6
327,2011-06-08,28.92
328,2011-06-09,23.950001
329,2011-06-10,14.65
330,2011-06-11,18.549999
331,2011-06-12,19.84
332,2011-06-13,19.280001
333,2011-06-14,19.49
334,2011-06-15,17.0
335,2011-06-16,15.68
336,2011-06-17,16.889999
337,2011-06-18,17.51
338,2011-06-19,17.51
339,2011-06-20,17.51
340,2011-06-21,17.51
341,2011-06-22,17.51
342,2011-06-23,17.51
343,2011-06-24,17.51
344,2011-06-25,16.450001
345,2011-06-26,16.75
346,2011-06-27,16.950001
347,2011-06-28,16.85
348,2011-06-29,16.1
349,2011-06-30,15.4
350,2011-07-01,15.4
351,2011-07-02,15.44
352,2011-07-03,13.86
353,2011-07-04,12.91
354,2011-07-05,14.78
355,2011-07-06,14.78
356,2011-07-07,14.31
357,2011-07-08,14.38
358,2011-07-09,14.9
359,2011-07-10,14.21
360,2011-07-11,14.01
361,2011-07-12,13.95
362,2011-07-13,13.99
363,2011-07-14,13.81
364,2011-07-15,13.72
365,2011-07-16,13.16
366,2011-07-17,13.48
367,2011-07-18,13.85
368,2011-07-19,13.69
369,2011-07-20,13.61
370,2011-07-21,13.7
371,2011-07-22,13.68
372,2011-07-23,13.98
373,2011-07-24,14.05
374,2011-07-25,13.88
375,2011-07-26,13.94
376,2011-07-27,13.49
377,2011-07-28,13.5
378,2011-07-29,13.53
379,2011-07-30,13.35
380,2011-07-31,13.09
381,2011-08-01,12.05
382,2011-08-02,9.26
383,2011-08-03,10.75
384,2011-08-04,9.8
385,2011-08-05,6.55
386,2011-08-06,7.9
387,2011-08-07,7.8
388,2011-08-08,9.99
389,2011-08-09,9.98
390,2011-08-10,9.46
391,2011-08-11,9.46
392,2011-08-12,10.13
393,2011-08-13,10.8
394,2011-08-14,11.15
395,2011-08-15,10.96
396,2011-08-16,10.95
397,2011-08-17,10.83
398,2011-08-18,11.65
399,2011-08-19,11.45
400,2011-08-20,11.31
401,2011-08-21,10.9
402,2011-08-22,10.94
403,2011-08-23,10.85
404,2011-08-24,9.66
405,2011-08-25,8.18
406,2011-08-26,8.59
407,2011-08-27,9.07
408,2011-08-28,8.97
409,2011-08-29,8.79
410,2011-08-30,8.2
411,2011-08-31,8.21
412,2011-09-01,8.64
413,2011-09-02,8.48
414,2011-09-03,8.18
415,2011-09-04,7.61
416,2011-09-05,6.86
417,2011-09-06,7.19
418,2011-09-07,6.53
419,2011-09-08,5.03
420,2011-09-09,4.77
421,2011-09-10,5.86
422,2011-09-11,6.08
423,2011-09-12,5.8
424,2011-09-13,5.62
425,2011-09-14,4.84
426,2011-09-15,4.82
427,2011-09-16,4.77
428,2011-09-17,5.2
429,2011-09-18,5.46
430,2011-09-19,6.11
431,2011-09-20,5.61
432,2011-09-21,5.43
433,2011-09-22,5.55
434,2011-09-23,5.47
435,2011-09-24,5.33
436,2011-09-25,4.87
437,2011-09-26,4.92
438,2011-09-27,4.77
439,2011-09-28,4.78
440,2011-09-29,5.14
441,2011-09-30,5.03
442,2011-10-01,5.03
443,2011-10-02,5.02
444,2011-10-03,4.96
445,2011-10-04,4.87
446,2011-10-05,4.73
447,2011-10-06,4.27
448,2011-10-07,4.01
449,2011-10-08,4.1
450,2011-10-09,4.1
451,2011-10-10,3.93
452,2011-10-11,4.15
453,2011-10-12,4.05
454,2011-10-13,3.99
455,2011-10-14,3.84
456,2011-10-15,3.56
457,2011-10-16,2.56
458,2011-10-17,2.42
459,2011-10-18,2.27
460,2011-10-19,2.35
461,2011-10-20,2.57
462,2011-10-21,3.16
463,2011-10-22,3.17
464,2011-10-23,2.55
465,2011-10-24,2.77
466,2011-10-25,2.77
467,2011-10-26,3.04
468,2011-10-27,3.19
469,2011-10-28,3.58
470,2011-10-29,3.27
471,2011-10-31,3.25
472,2011-11-01,3.15
473,2011-11-02,3.25
474,2011-11-03,3.15
475,2011-11-04,3.11
476,2011-11-05,2.97
477,2011-11-06,2.96
478,2011-11-07,3.01
479,2011-11-08,3.04
480,2011-11-09,2.95
481,2011-11-10,2.84
482,2011-11-11,3.08
483,2011-11-12,3.03
484,2011-11-13,3.0
485,2011-11-14,2.22
486,2011-11-15,2.33
487,2011-11-16,2.56
488,2011-11-17,2.25
489,2011-11-18,2.05
490,2011-11-19,2.2
491,2011-11-20,2.2
492,2011-11-21,2.29
493,2011-11-22,2.33
494,2011-11-23,2.33
495,2011-11-24,2.43
496,2011-11-25,2.51
497,2011-11-26,2.47
498,2011-11-27,2.48
499,2011-11-28,2.55
500,2011-11-29,2.75
501,2011-11-30,2.97
502,2011-12-01,3.06
503,2011-12-02,3.12
504,2011-12-03,2.79
505,2011-12-04,2.83
506,2011-12-05,2.88
507,2011-12-06,3.03
508,2011-12-07,2.99
509,2011-12-08,2.98
510,2011-12-09,2.97
511,2011-12-10,3.05
512,2011-12-11,3.25
513,2011-12-12,3.14
